Type;Product Type;Product;Plant;Manufacturing Line;Production Level;Route;Version;Op Seq;Op;Operation;Position;CT Plan;CT Q;RPT;Color
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;Result;;;;;30,11;25,09;5,02;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;1;1014;START_FOL;;0,33;0,31;0,03;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;2;3153;PNA_FT;;0,34;0,31;0,03;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;3;9651;FTCLUSTER1;x;0,38;0,35;0,03;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;4;5201;FOTOKTR1;;0,48;0,43;0,05;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;5;4550;PŽICPŽTZ1;;0,67;0,58;0,09;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;6;9640;PŽO2FLASH0;;0,38;0,35;0,03;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;7;3112;LABL_VER1;;0,37;0,34;0,03;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;8;4700;VERASCHEN1;;0,35;0,33;0,03;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;9;9641;PŽO2FLASH1;;0,38;0,35;0,03;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;10;9624;PB SIO2;;0,43;0,39;0,04;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;11;6003;SINTROHRVS;;0,45;0,41;0,04;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;12;9657;HMDS2;;0,48;0,43;0,05;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;13;9652;FTCLUSTER2;;0,38;0,35;0,03;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;14;5202;FOTOKTR2;;0,22;0,21;0,01;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;15;9642;PŽO2FLASH2;;0,38;0,35;0,03;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;16;3015;FŽL_BAK;;0,29;0,27;0,02;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;17;4121;B PTAU2;;0,52;0,47;0,06;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;18;5601;LO_TF2;;0,36;0,33;0,03;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;19;9617;S ZNO_AU;;0,55;0,49;0,06;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;20;1024;KOMB_ES;;0,25;0,24;0,01;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;21;9635;NH3 REIN 1;;0,37;0,34;0,03;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;22;9665;BONDEN;;0,53;0,47;0,06;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;23;9666;US KONTR;;1,23;0,98;0,25;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;24;6600;US_MIKROS;;0,20;0,19;0,01;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;25;7518;LAMSCHL_1;;0,27;0,25;0,02;Grey
F6650A;F6650A00000;11075745;BUR;PLP;FOL;V6650A;9;26;3200;SUBSTŽTZTF;;0,63;0,55;0,08;Grey
